epoch,mseTestNetwork1,mseTestNetwork2
1,371.52,413.891,
2,291.862,310.113,
3,286.94,297.28,
4,284.674,293.893,
5,282.86,292.286,
6,281.38,291.106,
7,280.23,290.035,
8,279.046,288.995,
9,278.376,287.975,
10,277.344,286.966,
11,276.183,285.968,
12,274.995,284.999,
13,274.227,284.08,
14,273.679,283.213,
15,273.018,282.389,
16,272.496,281.596,
17,272.039,280.828,
18,271.779,280.079,
19,271.817,279.345,
20,271.711,278.624,
21,271.442,277.915,
22,271.097,277.216,
23,270.731,276.529,
24,270.335,275.853,
25,269.94,275.188,
26,269.794,274.537,
27,269.141,273.9,
28,268.868,273.279,
29,268.676,272.674,
30,268.46,272.088,
31,268.298,271.521,
32,268.416,270.974,
33,268.181,270.448,
34,267.961,269.944,
35,267.856,269.463,
36,267.761,269.004,
37,267.614,268.567,
38,267.524,268.154,
39,267.286,267.762,
40,267.124,267.393,
41,267.078,267.045,
42,267.118,266.717,
43,267.318,266.41,
44,267.524,266.122,
45,267.633,265.851,
46,267.589,265.597,
47,267.426,265.359,
48,267.155,265.136,
49,266.031,264.926,
50,265.368,264.729,
51,265.295,264.543,
52,265.472,264.367,
53,265.824,264.2,
54,265.84,264.042,
55,266.5,263.89,
56,266.7,263.746,
57,264.677,263.607,
58,265.919,263.473,
59,267.638,263.345,
60,268.693,263.223,
61,268.68,263.104,
62,267.742,262.988,
63,266.366,262.875,
64,265.159,262.765,
65,263.971,262.657,
66,262.693,262.553,
67,262.358,262.455,
68,262.215,262.368,
69,260.918,262.294,
70,256.934,262.235,
71,256.719,262.19,
72,257.651,262.159,
73,258.764,262.142,
74,257.631,262.14,
75,255.627,262.154,
76,254.601,262.183,
77,254.101,262.224,
78,253.869,262.276,
79,253.822,262.334,
80,253.898,262.396,
81,254.068,262.455,
82,254.235,262.509,
83,254.432,262.554,
84,254.691,262.586,
85,254.961,262.602,
86,255.207,262.599,
87,255.418,262.573,
88,255.584,262.524,
89,255.694,262.449,
90,255.728,262.348,
91,255.623,262.218,
92,255.43,262.062,
93,255.105,261.879,
94,254.54,261.671,
95,253.972,261.442,
96,253.957,261.195,
97,253.725,260.934,
98,253.881,260.665,
99,254.128,260.391,
100,254.426,260.117,

Test,59.8836,59.8081,
