Randomize complete, train size=1700, test size=426
21x100  100x3   Weight Matrix with Layer(2)
SimpleFNN Initialized...

21x100  100x3   Weight Matrix with Layer(2)
SimpleFNN Initialized...

21x20   20x3    Weight Matrix with Layer(2)
SimpleFNN Initialized...

                __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
BeginTest MSE:  3.11424008                      3.11424008                      124.68869994

[Epoch 00]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.82551434                      0.81831080                      0.81124628
Test MSE:       0.07320652                      0.46920774                      105.72494070

[Epoch 01]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.23431442                      0.23339137                      0.23247535
Test MSE:       0.04037177                      0.31573305                      98.44289129

[Epoch 02]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.14174030                      0.14130482                      0.14087191
Test MSE:       0.02794429                      0.24406269                      93.03776489

[Epoch 03]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.10130096                      0.10103686                      0.10077408
Test MSE:       0.02132889                      0.20117584                      88.50499151

[Epoch 04]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.07848595                      0.07830541                      0.07812567
Test MSE:       0.01720597                      0.17218287                      84.56979478

[Epoch 05]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.06382598                      0.06369342                      0.06356137
Test MSE:       0.01438707                      0.15107798                      81.10028591

[Epoch 06]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.05361864                      0.05351651                      0.05341475
Test MSE:       0.01233772                      0.13492836                      78.01054489

[Epoch 07]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.04611048                      0.04602902                      0.04594784
Test MSE:       0.01078105                      0.12211648                      75.23703421

[Epoch 08]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.04036199                      0.04029531                      0.04022883
Test MSE:       0.00955899                      0.11167087                      72.73026312

[Epoch 09]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.03582406                      0.03576833                      0.03571277
Test MSE:       0.00857460                      0.10296995                      70.45070741

[Epoch 10]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.03215416                      0.03210681                      0.03205959
Test MSE:       0.00776512                      0.09559601                      68.36632518

[Epoch 11]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.02912755                      0.02908676                      0.02904608
Test MSE:       0.00708808                      0.08925714                      66.45085369

[Epoch 12]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.02659069                      0.02655515                      0.02651970
Test MSE:       0.00651371                      0.08374272                      64.68256960

[Epoch 13]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.02443513                      0.02440385                      0.02437266
Test MSE:       0.00602053                      0.07889665                      63.04335760

[Epoch 14]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.02258210                      0.02255435                      0.02252666
Test MSE:       0.00559265                      0.07460060                      61.51799766

[Epoch 15]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.02097303                      0.02094823                      0.02092347
Test MSE:       0.00521807                      0.07076312                      60.09361265

[Epoch 16]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01956348                      0.01954117                      0.01951889
Test MSE:       0.00488753                      0.06731233                      58.75923618

[Epoch 17]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01831913                      0.01829893                      0.01827877
Test MSE:       0.00459380                      0.06419089                      57.50547152

[Epoch 18]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01721304                      0.01719466                      0.01717633
Test MSE:       0.00433116                      0.06135247                      56.32422047

[Epoch 19]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01622379                      0.01620700                      0.01619025
Test MSE:       0.00409499                      0.05875919                      55.20846622

[Epoch 20]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01533415                      0.01531875                      0.01530337
Test MSE:       0.00388154                      0.05637975                      54.15209823

[Epoch 21]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01453010                      0.01451591                      0.01450174
Test MSE:       0.00368774                      0.05418806                      53.14977007

[Epoch 22]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01380008                      0.01378697                      0.01377387
Test MSE:       0.00351104                      0.05216219                      52.19678314

[Epoch 23]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01313454                      0.01312238                      0.01311024
Test MSE:       0.00334932                      0.05028354                      51.28899107

[Epoch 24]      __networkBig(100:12.0)          __networkNarrow(100:3.0)        __networkNarrow(20:12.0)
Train MSE:      0.01252548                      0.01251417                      0.01250288
Test MSE:       0.00320079                      0.04853624                      50.42272055

